event_message	event_type	function_id	id	level	timestamp
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	80b7b381-64a8-4877-bdfa-f9de081706c3	log	1760549207552000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	f8059be6-98ce-46eb-b6b3-6de4dacb576d	log	1760549207271000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	dc54cc9c-402f-44ee-94a5-22a4f5c6d5a5	log	1760549207271000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	253fce08-448d-4ecf-a65e-49863dfb2476	log	1760549112826000
"No available questions after filtering
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	61195517-d787-417b-8451-69eb323b11a6	info	1760549108585000
"No available questions after filtering
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	fa2db07d-c29c-4eea-9c63-6ac08a8483c1	info	1760549108585000
"RPC failed, using direct query approach
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	3895617f-43e7-4424-847a-af4a476078e3	info	1760549108007000
"RPC claim failed, trying direct query: {
  code: "42702",
  details: "It could refer to either a PL/pgSQL variable or a table column.",
  hint: null,
  message: 'column reference "id" is ambiguous'
}"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	608d1359-052c-460f-b572-b8933d69526c	error	1760549108007000
"RPC claim failed, trying direct query: {
  code: "42702",
  details: "It could refer to either a PL/pgSQL variable or a table column.",
  hint: null,
  message: 'column reference "id" is ambiguous'
}"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	ed90bc29-a215-48ce-aa3b-b10abf79c050	error	1760549108007000
"RPC failed, using direct query approach
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	d257a0a8-1082-4a98-9afb-b98fabb9f064	info	1760549108007000
Claiming question for project 5d4c281a-ec60-4292-a853-0be3be008842, worker 8178832e-3232-4c55-8002-636e9a7ccd33	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	14cb8a10-3ca1-43b2-876b-be9b2c4f87eb	info	1760549107114000
Claiming question for project 5d4c281a-ec60-4292-a853-0be3be008842, worker 8178832e-3232-4c55-8002-636e9a7ccd33	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	0c304da9-3782-4107-89cb-647fc44f46b8	info	1760549107114000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	b9c49096-56fa-436b-928c-a08faf1f9b67	info	1760549107107000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	46c68883-4181-4555-a93b-4234ca2e120e	info	1760549107107000
booted (time: 38ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	353c1f37-7b91-4ef8-a39b-39d229f3785f	log	1760549107102000
booted (time: 38ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	210c51fe-0f9a-47db-b9f8-1954fa7049d2	log	1760549107102000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	39b67415-656c-4181-80f8-807f8240eee3	info	1760549106877000
booted (time: 37ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	96064268-b16b-4a3a-801d-055f9e8aa8d5	log	1760549106873000
"No available questions after filtering
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	953ac0c7-c86e-4023-b92e-fc84a2f12275	info	1760549007932000
"RPC failed, using direct query approach
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	702e02d0-3e36-48c3-98c5-18a63d5141f7	info	1760549007693000
"RPC claim failed, trying direct query: {
  code: "42702",
  details: "It could refer to either a PL/pgSQL variable or a table column.",
  hint: null,
  message: 'column reference "id" is ambiguous'
}"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	ea73cd25-c50a-411b-9037-8f0246ceb9f1	error	1760549007693000
Claiming question for project 1cceb0a2-02e5-4575-b6cb-d6c421408969, worker 92c926fd-7b49-414d-834a-dbd1c57e8f6d	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	11083385-d6a3-43c9-865d-0c0acc0eaeda	info	1760549007544000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	081c3d11-01fb-40ee-bdfc-85e038a76cf6	info	1760549007539000
booted (time: 31ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	8c73f032-559b-470d-8973-9210015b072c	log	1760549007536000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	86809b3b-7356-4cd8-85cd-c37a47e7243e	info	1760549007232000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	177acb40-0a78-46bc-9e13-8e95de58985e	info	1760549007232000
booted (time: 40ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	128d61f7-456a-40db-8cb2-d9a07bc7dfc6	log	1760549007227000
booted (time: 40ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	4a294d64-c606-4149-9504-ac8b20518c78	log	1760549007227000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	49bd199d-5e35-4084-820f-d0f9165844fe	log	1760548985601000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	93659d8e-da82-4ad5-bd6c-4e49f8fb92ce	log	1760548980610000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	e308d7f2-a788-469a-8958-55217e76f339	log	1760548980436000
"No available questions after filtering
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	986380d1-fb59-4a18-834d-101fc936d032	info	1760548946490000
"RPC failed, using direct query approach
"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	909a9681-bac9-4435-a2e5-b6262952e2cb	info	1760548946248000
"RPC claim failed, trying direct query: {
  code: "42702",
  details: "It could refer to either a PL/pgSQL variable or a table column.",
  hint: null,
  message: 'column reference "id" is ambiguous'
}"	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	52fc7759-f737-4205-b79b-ff2745c72232	error	1760548946248000
Claiming question for project 1cceb0a2-02e5-4575-b6cb-d6c421408969, worker 92c926fd-7b49-414d-834a-dbd1c57e8f6d	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	0b285bd0-a982-4c6d-9fab-7b9d2f40070c	info	1760548946100000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	65499f7d-ce07-4d36-9376-a57f0b21a555	info	1760548946095000
booted (time: 28ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	59c50213-6647-4148-a452-5acf963eb9e6	log	1760548946092000
Listening on http://localhost:9999/	Log	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	1fa8c530-4c38-4c7c-a3c3-0420168adb7d	info	1760548945787000
booted (time: 28ms)	Boot	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	3806bd79-1398-43e6-9c86-bfab3ae984f3	log	1760548945786000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	8f17302a-d7a7-43f5-90dd-b478a1172d60	log	1760548933141000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	a2c4a6e8-ede7-4d99-bc13-2592a8e80253	log	1760548918713000
shutdown	Shutdown	a1d482fa-ee13-4e5c-8b43-c64e2acc518b	bfb3a233-4094-4267-9d71-b412c21d357a	log	1760548894424000
